Strain,Parent_strain,organism,Treatment,Light,Time,rep1,rep2,rep3,OriSource
VOL5,AS9601,P,Axenic,High,19,67400.00,11800.00,24900.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,23,546000.00,70300.00,140000.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,26,3710000.00,355000.00,843000.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,0,353.00,212.00,318.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,1,283.00,71.00,283.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,3,1380.00,918.00,1200.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,6,1130.00,530.00,1480.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,8,2790.00,2120.00,1480.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,10,742.00,177.00,1940.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,13,777.00,247.00,1800.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,16,2080.00,247.00,2860.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,19,4630.00,565.00,3180.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,23,37900.00,1870.00,10300.00,Morris_2011_5
VOL5,AS9601,P,Axenic,Low,26,185000.00,5900.00,22800.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,0,389.00,177.00,495.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,1,106.00,283.00,247.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,3,1840.00,1200.00,2190.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,6,1800.00,2230.00,1910.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,8,6680.00,7950.00,7770.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,10,22900.00,24500.00,24600.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,13,142000.00,141000.00,133000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,16,798000.00,776000.00,755000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,19,4220000.00,4510000.00,4270000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,High,23,43700000.00,44000000.00,47400000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,0,495.00,424.00,283.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,1,318.00,212.00,318.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,3,1130.00,1630.00,1100.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,6,2690.00,2860.00,3670.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,8,9430.00,12500.00,9890.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,10,19000.00,26400.00,26600.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,13,82000.00,127000.00,144000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,16,376000.00,570000.00,665000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,19,1870000.00,3090000.00,3250000.00,Morris_2011_5
VOL5,AS9601,P,EZ55,Low,23,12000000.00,26900000.00,32300000.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,0,106.00,141.00,141.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,1,247.00,106.00,318.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,3,247.00,671.00,707.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,6,3390.00,2830.00,2690.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,8,9930.00,7770.00,7670.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,10,33600.00,23500.00,27700.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,12,113000.00,89700.00,82600.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,14,400000.00,308000.00,334000.00,Morris_2011_5
VOL7,MED4,P,Axenic,High,20,22000000.00,19300000.00,18200000.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,0,495.00,71.00,212.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,1,0.00,0.00,512.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,3,212.00,35.00,106.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,6,35.00,71.00,35.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,8,106.00,35.00,141.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,10,459.00,424.00,318.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,12,283.00,283.00,177.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,14,212.00,530.00,71.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,20,1800.00,777.00,530.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,32,26300.00,2050.00,1060.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,35,44400.00,35.00,35.00,Morris_2011_5
VOL7,MED4,P,Axenic,Low,39,151000.00,1200.00,2930.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,0,67.00,90.00,35.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,1,318.00,177.00,601.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,3,215.00,177.00,144.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,6,3890.00,3640.00,4800.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,8,12200.00,13000.00,13000.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,10,48600.00,51400.00,56900.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,12,173000.00,197000.00,217000.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,14,894000.00,867000.00,894000.00,Morris_2011_5
VOL7,MED4,P,EZ55,High,20,75000000.00,72800000.00,82900000.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,0,2500.00,35.00,35.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,1,0.00,0.00,0.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,3,71.00,182.00,177.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,6,106.00,141.00,106.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,8,247.00,353.00,318.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,10,742.00,812.00,1060.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,12,1130.00,1200.00,1240.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,14,1980.00,2540.00,2540.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,20,22000.00,31800.00,34700.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,32,3350000.00,7140000.00,9260000.00,Morris_2011_5
VOL7,MED4,P,EZ55,Low,35,10100000.00,8500.00,NAN,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,0,530.00,847.00,318.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,1,954.00,707.00,212.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,3,4130.00,2720.00,2790.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,6,9220.00,4910.00,565.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,8,22000.00,8020.00,1800.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,10,57100.00,13100.00,2440.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,13,264000.00,32900.00,4590.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,16,1300000.00,128000.00,10500.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,19,8260000.00,616000.00,19600.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,23,94600000.00,6060000.00,105000.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,High,26,NAN,62500000.00,555000.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,0,141.00,353.00,424.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,1,283.00,459.00,283.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,3,1730.00,1870.00,1730.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,6,1590.00,1270.00,2860.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,8,2510.00,3070.00,3780.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,10,212.00,565.00,7520.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,13,106.00,283.00,12800.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,16,141.00,389.00,31700.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,19,247.00,283.00,84300.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,23,671.00,1130.00,514000.00,Morris_2011_5
VOL8,MIT9515,P,Axenic,Low,26,495.00,353.00,3050000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,0,353.00,495.00,1410.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,1,283.00,742.00,954.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,3,3040.00,4170.00,6320.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,6,11400.00,16800.00,41300.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,8,57700.00,73200.00,183000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,10,247000.00,328000.00,735000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,13,1540000.00,1890000.00,2880000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,16,15400000.00,21400000.00,46300000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,High,19,96800000.00,146000000.00,250000000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,0,283.00,353.00,389.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,1,71.00,318.00,247.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,3,2190.00,1730.00,1910.00,Morris_2011_5
